toMergeCountryCode;toMergePublisher;originalcountryCode;originalRegistryName;distance
be   ;La Banque-Carrefour des Entreprises                                                                                                                                                                                                                            ;be   ;Banque Carrefour des entreprises / Kruispuntbank van ondernemingen                                                                                                                                                                                             ;39
gb   ;UK Companies House                                                                                                                                                                                                                                             ;gb   ;Companies House                                                                                                                                                                                                                                                ;3
ie   ;Ireland Companies Registration Office                                                                                                                                                                                                                          ;ie   ;Irish CompaniesRegistration Office                                                                                                                                                                                                                             ;6
im   ;Isle of Man Companies Registry                                                                                                                                                                                                                                 ;im   ;Isle of Man Companies Registry                                                                                                                                                                                                                                 ;0
nl   ;OpenKVK.nl                                                                                                                                                                                                                                                     ;nl   ;Kamer van Koophandel                                                                                                                                                                                                                                           ;15
no   ;Brønnøysundregistrene                                                                                                                                                                                                                                          ;no   ;Brønnøysundregistrene                                                                                                                                                                                                                                          ;0
se   ;Bolagsverket (Swedish Companies Registration Office)                                                                                                                                                                                                           ;se   ;Bolagsverket / Swedish Companies Registration Office                                                                                                                                                                                                           ;3
ug   ;Uganda Registration Services Bureau                                                                                                                                                                                                                            ;ug   ;Registration Services Bureau                                                                                                                                                                                                                                   ;7
za   ;South Africa Companies and Intellectual Property Commission                                                                                                                                                                                                    ;za   ;Companies and Intellectual Property Commission (CIPC)                                                                                                                                                                                                          ;20
