toMergeCountryCode;toMergePublisher
ae                                                                                                  ;Abu Dhabi Commercial Directory
us                                                                                                  ;Alabama Secretary of State
us                                                                                                  ;Alaska Department of Commerce
al                                                                                                  ;Albania National Registration Center
us                                                                                                  ;Arizona Corporation Commission
us                                                                                                  ;Arkansas Secretary Of State
aw                                                                                                  ;Aruba Chamber of Commerce & Industry
au                                                                                                  ;Australian Securities & Investments Commission
bs                                                                                                  ;Registrar General's Department of the Bahamas
bh                                                                                                  ;Bahrain Ministry Of Industry And Commerce
bd                                                                                                  ;Bangladesh Office of the Registrar of Joint Stock Companies and Firms
bb                                                                                                  ;Barbados Corporate Affairs and Intellectual Property Office
be                                                                                                  ;La Banque-Carrefour des Entreprises
bm                                                                                                  ;Bermuda Registrar of Companies
us                                                                                                  ;California Secretary of State
ca                                                                                                  ;Corporations Canada
us                                                                                                  ;Connecticut Secretary Of State, Commercial Recording Division
hr                                                                                                  ;Croatian Chamber of Commerce
cy                                                                                                  ;Cyprus Department of Registrar of Companies and Official Receiver
dk                                                                                                  ;Det centrale virksomhedsregister
us                                                                                                  ;District of Columbia Department of Consumer and Regulatory Affairs
do                                                                                                  ;Oficina Nacional de la Propiedad Industrial
ae                                                                                                  ;Dubai International Financial Centre
fi                                                                                                  ;Finnish Business Information System
us                                                                                                  ;Florida Department of State Division of Corporations
us                                                                                                  ;Georgia Secretary of State
gi                                                                                                  ;Companies House Gibraltar
gl                                                                                                  ;Det grønlandske erhvervsregister
us                                                                                                  ;Hawaii Department Of Commerce & Consumer Affairs
hk                                                                                                  ;Hong Kong Companies Registry
is                                                                                                  ;The Icelandic Tax Office (RSK)
us                                                                                                  ;Idaho Secretary of State
in                                                                                                  ;India Ministry of Corporate Affairs
us                                                                                                  ;Iowa Secretary of State
ie                                                                                                  ;Ireland Companies Registration Office
im                                                                                                  ;Isle of Man Companies Registry
jm                                                                                                  ;Companies Office of Jamaica
je                                                                                                  ;Jersey Financial Services Commission
us                                                                                                  ;Kansas Business Center
lv                                                                                                  ;Latvia Database of enterprises
li                                                                                                  ;Liechtensteinische Landesverwaltung
us                                                                                                  ;Louisiana Secretary Of State, Commercial Division
lu                                                                                                  ;Registre de Commerce et des Sociétés (Luxembourg)
us                                                                                                  ;Maine Bureau of Corporations, Elections and Commissions
mt                                                                                                  ;The Malta Financial Services Authority
us                                                                                                  ;Maryland Department of Assessments & Taxation
us                                                                                                  ;Massachusetts Secretary of the Commonwealth, Corporations Division
mu                                                                                                  ;Mauritius Ministry of Finance & Economic Developement, Companies Division
mx                                                                                                  ;Sistema de Información Empresarial Mexicano
us                                                                                                  ;Michigan Department of Energy, Labor & Economic Growth
us                                                                                                  ;Mississippi Secretary of State
us                                                                                                  ;Missouri Secretary of State
me                                                                                                  ;Montenegro Central Registry of Business Entities
mm                                                                                                  ;Myanamar Directorate of Investment and Company Administration
nl                                                                                                  ;OpenKVK.nl
ca                                                                                                  ;New Brunswick Corporate Affairs Registry Database
us                                                                                                  ;New Hampshire Secretary Of State Corporation Division
us                                                                                                  ;State of New Jersey Division of Revenue
us                                                                                                  ;New Mexico Public Regulation Commission (Corporations Division)
us                                                                                                  ;New York Department of State
nz                                                                                                  ;New Zealand Companies Office
ca                                                                                                  ;Government of Newfoundland & Labrador Registry of Companies
us                                                                                                  ;North Carolina Secretary of State, Corporations Division
no                                                                                                  ;Brønnøysundregistrene
ca                                                                                                  ;Nova Scotia Registry of Joint Stock Companies
us                                                                                                  ;Ohio Secretary of State
us                                                                                                  ;Oklahoma Secretary Of State
us                                                                                                  ;Oregon Secretary of State (Corporation Division)
pk                                                                                                  ;Securities & Exchange Commission of Pakistan
pa                                                                                                  ;Registro Público de Panamá
us                                                                                                  ;Pennsylvania Department of State
pl                                                                                                  ;Polish National Court Register
ca                                                                                                  ;Prince Edward Island Corporate/Business Names Registry
pr                                                                                                  ;Puerto Rico Department of State
ca                                                                                                  ;Quebec Registraire des entreprises
us                                                                                                  ;Rhode Island Secretary of State, Division Of Business Services
ro                                                                                                  ;Oficiul Național al Registrului Comerțului
rw                                                                                                  ;Rwanda Office of the Registrar General
sg                                                                                                  ;Singapore Accounting and Corporate Regulatory Authority
si                                                                                                  ;Slovenia Ministry Of Finance
za                                                                                                  ;South Africa Companies and Intellectual Property Commission
us                                                                                                  ;South Carolina Secretary Of State
us                                                                                                  ;South Dakota Secretary of State
es                                                                                                  ;Spanish Mercantile Registry
se                                                                                                  ;Bolagsverket (Swedish Companies Registration Office)
tj                                                                                                  ;unknown
tz                                                                                                  ;Tanzania Business Registrations and Licensing Agency
us                                                                                                  ;Tennessee Secretary of State, Division of Business Services
th                                                                                                  ;Thailand Department of Business Development
to                                                                                                  ;Kingdom of Tonga Companies Office
tn                                                                                                  ;Registre de Commerce de Tunisie
ug                                                                                                  ;Uganda Registration Services Bureau 
gb                                                                                                  ;UK Companies House
us                                                                                                  ;Utah Department of Commerce
vu                                                                                                  ;Vanuatu Financial Services Commission
us                                                                                                  ;Vermont Secretary of State: Corporations Division
vn                                                                                                  ;Vietnam National Business Registration System
us                                                                                                  ;Commonwealth Of Virginia State Corporation Commission
us                                                                                                  ;Washington Secretary of State - Corporations Division
us                                                                                                  ;West Virginia Secretary of State
us                                                                                                  ;Wyoming Secretary of State's Office
